Timestamp,DeviceName,ActionType,FileName,FolderPath,SHA256,Account
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,mac_FRE_Tutorial_Intro.js,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\mac_FRE_Tutorial_Intro.js,5042e798fb3458043d53366391545c0f0e2fa229eebaae70c6c19d717d6aab6c,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Share.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Share.svg,82a1880b64c51e0a2a1a840903f9b7def8ce622166f3b08f4f83955747894712,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Share.js,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Share.js,a3530d2250967b602dfe064231e6c184990082b18fdd37017ee34a3586de6a75,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Mobile.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Mobile.svg,1f8e8d9685f6c718cd90732d7589a5bf33815127bc07c9b391bdd37b10de92d3,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Mobile.js,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Mobile.js,7340bf26937e17d3081f00a263c7cf638315a36d805c0316ab613f51d6a65757,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Intro.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Intro.svg,045a7539fd6be0923ca2d8477b193f1cdce1f2949030c6533471bda26b12c348,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_Intro.js,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_Intro.js,a727c2cb5b38879015726e1635d2b4a754e099ec214a411df611f031875e958f,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_FilesOnDemand_Placeholder.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_FilesOnDemand_Placeholder.svg,7f6468a70c852c9a3ae9d784f92b5276e7e7442c2561c3ff188b1152fefa0043,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_FilesOnDemand_OnlineOnly.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_FilesOnDemand_OnlineOnly.svg,52d0c44aebf13798009fbef357f15aabb55244d4c561339e4631c11856b4338e,rnathani-vm
"Apr 1, 2026 2:11:03 AM",rnathani-vm,FileCreated,FRE_Tutorial_FilesOnDemand_Important.svg,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\images\darkTheme\FRE_Tutorial_FilesOnDemand_Important.svg,06efcedb27d7ca3700c5b53d81d053e13319ba2fbd0e0d3803486d408d67ba0a,rnathani-vm
"Apr 1, 2026 2:10:56 AM",rnathani-vm,FileCreated,Microsoft.Office.Irm.OfcProtector.dll,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\IRMProtectors\Microsoft.Office.Irm.OfcProtector.dll,7f005d0b6d1aedf6240bb6669dde676122b53327de12d5e99cce5ef15fabe4cd,rnathani-vm
"Apr 1, 2026 2:10:56 AM",rnathani-vm,FileCreated,Microsoft.Office.Irm.MsoProtector.dll,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\IRMProtectors\Microsoft.Office.Irm.MsoProtector.dll,a78d8c6561595d586c9f2e18199c329b46634fb684422e2a054e6e8fa76809c2,rnathani-vm
"Apr 1, 2026 2:10:56 AM",rnathani-vm,FileCreated,microsoft.aip.pdfprotector.dll,C:\Users\rnathani-vm\AppData\Local\Microsoft\OneDrive\26.040.0301.0001\IRMProtectors\microsoft.aip.pdfprotector.dll,4d0ed490686d044f193e406f99f25f7e79a57942480a67f9630916ca9bd23c3e,rnathani-vm
"Apr 1, 2026 2:09:40 AM",rnathani-vm,FileCreated,SharedStorage-wal,C:\Users\rnathani-vm\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Default\SharedStorage-wal,,rnathani-vm
