Timestamp,DeviceName,AccountName,ActionType,SHA256,FolderPath,ProcessCommandLine
"Apr 1, 2026 2:23:59 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 5864:27529 -prefMapHandle 5920:277965 -jsInitHandle 5868:242716 -parentBuildID 20260323080000 -ipcHandle 5932 -initialChannelId {918abf46-cea8-410b-a80d-41dbb2221297} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 20 tab"
"Apr 1, 2026 2:18:09 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:18:10 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:18:17 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -parentBuildID 20260323080000 -prefsHandle 2564:28416 -prefMapHandle 2568:277965 -ipcHandle 2624 -initialChannelId {193d349f-96b0-4385-8d8e-636fa555fea6} -parentPid 8448 -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 1 gpu"
"Apr 1, 2026 2:18:24 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -parentBuildID 20260323080000 -prefsHandle 2956:28528 -prefMapHandle 2952:277965 -ipcHandle 2944 -initialChannelId {9af1a421-eba0-4ef3-9ee0-7777d5376b44} -parentPid 8448 -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 3 rdd"
"Apr 1, 2026 2:18:24 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 2176:28528 -prefMapHandle 1944:277965 -jsInitHandle 2236:242716 -parentBuildID 20260323080000 -ipcHandle 1832 -initialChannelId {f58fac64-d227-434d-a5c8-dc613e3c50b2} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 2 tab"
"Apr 1, 2026 2:18:20 AM",rnathani-vm,rnathani-vm,ProcessCreated,5d7797c72d7eae405d6b2054d94c53494861eb1169d8a1b276775aa48dc94fd7,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,"""tor.exe"" -f ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8448 DisableNetwork 1"
"Apr 1, 2026 2:18:28 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 3852:27341 -prefMapHandle 3856:277965 -jsInitHandle 3860:242716 -parentBuildID 20260323080000 -ipcHandle 3900 -initialChannelId {507a018e-1a35-43b4-9060-2ca504c99b97} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 6 tab"
"Apr 1, 2026 2:18:27 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -parentBuildID 20260323080000 -sandboxingKind 0 -prefsHandle 3656:28601 -prefMapHandle 3652:277965 -ipcHandle 3664 -initialChannelId {9293c2d2-2561-440d-9d8a-6b3d9133f279} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 5 utility"
"Apr 1, 2026 2:18:27 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 1940:28560 -prefMapHandle 2420:277965 -jsInitHandle 1932:242716 -parentBuildID 20260323080000 -ipcHandle 3276 -initialChannelId {c65331c8-e837-41ad-8d1d-893798e8fe1a} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 4 tab"
