Timestamp,DeviceName,InitiatingProcessAccountName,InitiatingProcessFileName,RemoteIP,RemotePort,RemoteUrl
"Apr 1, 2026 2:18:49 AM",rnathani-vm,rnathani-vm,firefox.exe,127.0.0.1,9150,
"Apr 1, 2026 2:18:35 AM",rnathani-vm,rnathani-vm,tor.exe,116.202.150.27,9001,
"Apr 1, 2026 1:49:15 AM",rnathani-vm,rnathani-vm,firefox.exe,127.0.0.1,9150,
